sequence,count,common_words
tion,1007,imagination, restoration, nation
that,771,that, 'that, that's
with,617,with, without, within
atio,501,imagination, restoration, nation
whic,492,which, whichever
hich,492,which, whichever
ther,401,other, there, another
addi,367,addison, addison's, additional
ment,367,government, agreement, judgment
ison,366,addison, addison's, morison
diso,360,addison, addison's, disoblige
ddis,358,addison, addison's
have,315,have, behaved, behave
ence,299,influence, evidence, audience
this,289,this
ions,276,donations, opinions, relations
from,271,from, 'from
ever,262,every, however, never
ough,259,though, thought, through
ting,232,writing, writings, distinguished
spec,223,spectator, respect, special
ould,219,would, could, should
thei,219,their, atheist, theirs
here,217,there, where, therefore
heir,217,their, heirs, theirs
were,215,were, answered, 'twere
ance,212,acquaintance, performance, circumstances
able,211,fashionable, admirable, able
reat,210,great, greatest, greater
sion,202,occasion, expression, passion
char,201,character, charles, charge
been,201,been
thou,201,though, without, thought
part,199,part, party, particular
pect,198,spectator, respect, expected
tter,194,letter, letters, latter
ight,189,might, right, eighteenth
very,181,very, every, everything
pres,177,present, press, represented
othe,175,other, another, others
comp,173,composition, composed, company
writ,171,written, writers, writer
self,170,himself, itself, herself
ract,167,character, characteristic, characters
inte,165,interest, intelligence, intended
ctio,164,action, actions, satisfaction
ator,163,spectator, creator, spectator's
ound,162,found, foundation, founded
ious,161,various, religious, serious
nder,158,under, undertook, wonder
ding,157,according, finding, breeding
form,157,form, performance, information
sent,155,sent, present, sentiment
atur,155,nature, natural, literature
lish,154,english, published, publishing
they,154,they, southey
ical,154,political, classical, critical
time,153,time, sometimes, sentiment
ated,152,treated, associated, created
tain,152,certain, certainly, obtain
ecta,151,spectator, spectator's, spectators
ject,150,project, subject, subjects
ctat,148,spectator, spectator's, spectators
ture,148,nature, literature, future
over,147,over, government, coverley
acte,146,character, characteristic, characters
tato,146,spectator, spectator's, spectators
ubli,145,public, published, publishing
unde,143,under, founded, undertook
them,143,them, themselves, themes
cons,142,consequence, considered, considerable
publ,140,public, published, publishing
work,140,work, works, worked
itio,140,position, composition, edition
grea,140,great, greatest, greater
thin,139,nothing, think, things
sons,137,addison's, persons, johnson's
iter,137,literary, writers, literature
rati,136,restoration, admiration, narrative
cont,136,continued, contemporary, contempt
than,135,than, thanks, elizabethan
msel,135,himself, themselves
afte,131,after, afterwards, shaftesbury
ount,130,country, account, countess
hara,129,character, characteristic, characters
arac,128,character, characteristic, characters
cter,128,character, characteristic, characters
ress,128,press, addressed, expression
enti,128,entirely, invention, sentiment
nter,126,interest, interesting, entertainment
fter,126,after, afterwards, hereafter
houg,126,though, thought, thoughts
nati,126,imagination, nation, donations
itic,126,political, criticism, critic
riti,125,criticism, writing, critic
coun,124,country, account, countess
ught,124,thought, brought, thoughts
king,124,king, making, speaking
ette,123,letter, letters, better
more,123,more, blackmore, moreover
ters,122,letters, writers, characters
emen,120,agreement, gentlemen, element
some,119,some, sometimes, something
ally,117,generally, naturally, equally
appe,117,appears, appear, appeared
vers,116,verses, conversation, verse
woul,116,would
when,116,when, whenever, whence
hing,115,nothing, things, anything
ness,115,business, kindness, weakness
rese,114,present, represented, resentment
will,112,will, william, will's
mber,112,number, numbers, remember
natu,112,nature, natural, naturally
inst,112,against, instincts, instead
pear,112,appears, appear, appeared
pape,109,paper, papers, newspaper
aper,109,paper, papers, newspaper
most,108,most, almost, utmost
what,108,what, whatever, somewhat
aste,108,taste, tastes, master
cour,107,court, course, courage
read,107,reader, read, readers
hims,107,himself
imse,107,himself
rite,106,writers, writer, writes
into,105,into, lintot, intolerable
stat,105,state, states, estate
ring,105,during, suffering, bring
engl,104,english, england, englishman
pers,104,papers, person, personal
tate,104,state, states, estate
ents,103,sentiments, judgments, requirements
ppea,103,appears, appear, appeared
poet,103,poet, poets, poetry
ishe,102,published, distinguished, finished
tive,101,motive, narrative, representative
comm,101,common, commercial, commons
such,100,such
foun,100,found, foundation, founded
stee,99,steele, steele's, esteem
ecti,99,section, perfection, affection
lect,98,electronic, intellectual, collection
soci,97,society, social, associated
ties,97,parties, opportunities, qualities
rien,97,friend, friends, friendship
serv,97,services, preserved, observed
port,97,opportunity, report, support
side,97,side, considered, considerable
cted,96,acted, expected, affected
upon,96,upon, thereupon, whereupon
uten,95,gutenberg, lieutenant, acuteness
ssio,95,expression, passion, profession
ined,95,remained, contained, obtained
atte,95,latter, matter, attention
roug,94,through, brought, marlborough
stan,94,circumstances, standard, understand
ling,94,feeling, feelings, travelling
proj,93,project, projection, projects
rest,93,restoration, interest, interesting
teel,93,steele, steele's, genteel
ning,93,learning, containing, morning
roje,92,project, projection, projects
ojec,92,project, projection, projects
hose,92,those, whose, chosen
eele,92,steele, steele's
irst,92,first, thirsty, thirst
entl,91,gentleman, gentlemen, sufficiently
anne,91,manners, manner, anne's
fore,90,before, therefore, foreign
seem,90,seems, seemed, seem
sing,90,rising, single, using
firs,90,first
thes,90,these, 'these, antitheses
shed,89,published, distinguished, finished
blic,89,public, publication, publications
well,89,well, dwell, shadwell
hese,89,these, 'these, antitheses
lett,88,letter, letters, lettice
stor,88,restoration, history, story
ense,87,sense, license, expense
acco,87,account, according, accordingly
tica,87,political, critical, poetical
gute,86,gutenberg
tenb,86,gutenberg
enbe,86,gutenberg
nber,86,gutenberg
berg,86,gutenberg
efor,86,before, therefore, reformation
peri,86,period, experience, periodical
prov,85,prove, provided, proved
llow,85,following, fellow, follows
scri,84,described, describing, description
iety,84,society, variety, piety
ende,84,intended, endeavour, pretended
ered,84,considered, offered, remembered
ffic,84,office, official, sufficient
play,84,play, plays, displayed
pope,83,pope, pope's, popery
osit,83,position, composition, disposition
tera,83,literary, literature, utterance
esen,83,present, represented, resentment
know,83,know, known, knowledge
fect,83,effect, perfection, affection
says,82,says, essays
only,82,only, commonly
ente,82,represented, entertainment, sentence
ener,81,general, generally, generation
frie,81,friend, friends, friendship
iend,81,friend, friends, friendship
isti,81,distinguished, characteristic, christian
erat,81,literature, generation, exaggerated
esse,80,addressed, expressed, possessed
lite,80,literary, literature, polite
tast,80,taste, tastes, distasteful
ving,80,having, living, leaving
like,80,like, likewise, dislike
made,79,made, mademoiselle
arti,79,particular, parties, artistic
eral,79,general, several, generally
nted,78,represented, acquainted, printed
prin,78,principles, principle, printed
ngli,77,english, englishman, anglican
ward,77,afterwards, towards, forward
lati,77,translation, latin, relations
posi,77,position, composition, disposition
siti,77,position, composition, disposition
crit,77,criticism, critic, critical
much,77,much, insomuch
life,76,life, lifetime, lifeless
ings,76,things, feelings, writings
ffer,76,different, offered, offer
fort,76,fortune, fortunes, forth
nner,76,manners, manner, dinner
cess,76,success, necessary, access
ines,76,lines, business, apennines
rate,76,rate, celebrated, exaggerated
acti,76,action, actions, acting
gene,75,general, generally, generation
tran,75,translation, translations, translated
erio,75,period, serious, periodical
ards,75,afterwards, towards, regards
dist,74,distinguished, distributed, distribution
aint,74,acquaintance, acquainted, painter
stin,74,distinguished, interesting, instincts
sati,74,satire, conversation, satisfaction
lity,74,morality, quality, immorality
thor,73,author, authority, authors
show,73,shown, show, shows
many,73,many, germany
good,73,good, goodman
glis,72,english, englishman, englishmen
ates,72,states, greatest, statesman
temp,72,temper, contemporary, contempt
mann,72,manners, manner
ssed,72,passed, addressed, expressed
less,72,doubtless, less, nevertheless
nces,72,circumstances, spence's, audiences
land,71,england, ireland, sunderland
erta,71,certain, certainly, entertainment
noth,71,another, nothing, another's
ompl,70,comply, accomplished, compliance
hout,70,without, throughout, rushout
poli,70,political, polite, policy
liti,70,political, qualities, politics
tory,69,tory, history, story
inat,69,imagination, inclination, imaginative
gree,69,agreement, greek, agree
istr,68,ministry, distributed, distribution
nion,68,opinion, opinions, companion
mati,68,information, dramatic, dramatists
must,68,must
pose,68,composed, supposed, purpose
reas,68,reason, reasonable, increase
same,68,same
sign,68,design, signed, designed
thro,67,through, throne, thrown
nded,67,intended, founded, pretended
eate,67,greatest, greater, treated
iden,67,evidence, incident, evidently
ause,67,because, cause, caused
said,67,said
ntry,67,country, gallantry, pleasantry
ecte,67,expected, affected, effected
ours,67,course, hours, discourse
even,67,even, prevented, prevent
auth,66,author, authority, authors
ears,66,years, appears, tears
spir,66,spirit, inspired, spirits
tati,66,reputation, representations, representative
icul,66,particular, ridiculous, ridicule
olit,66,political, polite, politics
ouse,66,house, houses, playhouse
utho,65,author, authority, authors
oral,65,moral, morality, morals
essi,65,expression, profession, succession
rtai,65,certain, certainly, entertainment
till,65,till, still, artillery
lace,65,place, places, placed
fere,65,different, offered, reference
leas,64,pleasure, pleased, least
tage,64,stage, advantage, advantages
pass,64,passed, passage, passion
nera,64,general, generally, generation
rdin,64,according, ordinary, accordingly
itho,64,without
utio,64,revolution, execution, institutions
stic,64,characteristic, justice, domestic
whil,64,while, whilst, awhile
cent,63,century, innocent, centuries
tere,63,interest, interesting, interests
