transition,count,common_words
of th,1079,of the, of this, of their
in th,578,in the, in their, in this
on th,365,on the, upon the, on this
to th,363,to the, into the, to this
nd th,313,and the, and that, and though
ed to,300,obliged to, forced to, seemed to
on of,289,description of, translation of, position of
ed th,289,called the, received the, translated the
at th,243,that the, at the, that they
es of,225,principles of, copies of, volumes of
he co,211,the court, the country, he could
er th,207,after the, under the, over the
ed in,200,prevailed in, appeared in, described in
ng th,199,among the, during the, describing the
ed by,188,distinguished by, produced by, published by
of hi,184,of his, of him, of himself
he re,178,the restoration, the reader, the revolution
or th,176,for the, for their, or the
er of,162,character of, number of, power of
by th,159,by the, by that, by this
he pr,158,the project, the principles, the press
as th,152,as the, was the, as they
th th,142,with the, with this, with their
es th,140,themselves the, charles the, principles the
ed hi,139,addressed his, prevented him, maintained himself
to be,132,to be, to believe, hitherto been
on an,129,addison and, reason and, religion and
in hi,128,in his, in him, slain his
ce of,127,consequence of, influence of, evidence of
he sp,125,the spectator, the spirit, the spectator's
ed wi,118,acquainted with, associated with, reconciled wit
it is,118,it is, wit is
he sa,117,the same, he says, he saw
ns of,115,foundations of, traditions of, persons of
he st,112,the stage, the state, the style
he ha,111,he had, he has, the hands
en th,110,when the, between the, been the
re th,107,more than, were the, before the
ll th,106,all the, till the, all things
om th,105,from the, from this, whom the
ts of,105,parts of, merits of, habits of
ch th,104,which the, which they, much the
he wa,104,he was, the way, she was
to hi,101,to his, to him, into his
he mo,100,the most, the more, the modern
he po,98,the poet, the poem, the poet's
nd in,97,and in, found in, find in
he fo,96,the following, he found, the foundation
he ch,95,the character, the chief, the church
he wo,94,the work, he would, the world
at he,93,that he, what he, 'that he
nt of,93,account of, point of, want of
ty of,93,variety of, opportunity of, authority of
he la,91,the latter, the last, the language
on in,91,addison in, opinion in, position in
es an,87,spence's anecdotes, tastes and, parties and
ed an,87,lived and, married and, discovered and
he fi,87,the first, the fine, the field
ct gu,86,project gutenberg
rs of,86,manners of, writers of, years of
ve be,86,have been, have behaved, have begun
ch he,86,which he, church he, much he
to ha,86,to have, to harmonise, to happy
se of,83,sense of, cause of, those of
it wa,83,it was, spirit was, pulpit was
er to,83,letter to, order to, power to
ng to,82,according to, going to, helping to
he pa,80,the paper, the party, the papers
is th,79,is the, is that, this the
he in,78,the influence, he in, the invention
he se,77,the second, he seems, the sense
